File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
adc_app.o,35.461086%,2661,1501,1480,0,21,2640
startup_gd32f450_470.o,27.292110%,2048,492,64,428,0,2048
sd_app.o,19.136461%,1436,4310,4274,36,0,1436
usart_app.o,5.117271%,384,1226,1044,54,128,256
mcu_cmic_gd32f470vet6.o,3.837953%,288,1440,1432,0,8,280
btn_app.o,2.611940%,196,584,374,14,196,0
c_w.l,1.279318%,96,8999,8448,551,0,96
libspace.o,1.279318%,96,8,8,0,0,96
sdio_sdcard.o,0.906183%,68,7170,7134,0,36,32
scheduler.o,0.852878%,64,164,100,0,64,0
perf_counter.o,0.852878%,64,848,780,4,64,0
ebtn.o,0.799574%,60,2070,2070,0,0,60
oled.o,0.293177%,22,3976,1242,2712,22,0
led_app.o,0.093284%,7,251,244,0,7,0
ff.o,0.079957%,6,7709,7690,13,6,0
systick.o,0.053305%,4,168,164,0,4,0
system_gd32f4xx.o,0.053305%,4,698,694,0,4,0
