File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,38.489006%,2048,492,64,428,0,2048
sd_app.o,27.288103%,1452,1590,1574,0,16,1436
adc_app.o,11.050554%,588,1488,1480,0,8,580
mcu_cmic_gd32f470vet6.o,5.412517%,288,1440,1432,0,8,280
usart_app.o,4.848712%,258,530,528,0,2,256
btn_app.o,3.683518%,196,584,374,14,196,0
c_w.l,1.804172%,96,8849,8298,551,0,96
libspace.o,1.804172%,96,8,8,0,0,96
sdio_sdcard.o,1.277955%,68,7170,7134,0,36,32
scheduler.o,1.202781%,64,164,100,0,64,0
perf_counter.o,1.202781%,64,848,780,4,64,0
ebtn.o,1.127608%,60,2070,2070,0,0,60
oled.o,0.413456%,22,3976,1242,2712,22,0
led_app.o,0.131554%,7,251,244,0,7,0
ff.o,0.112761%,6,7277,7258,13,6,0
systick.o,0.075174%,4,168,164,0,4,0
system_gd32f4xx.o,0.075174%,4,698,694,0,4,0
